# Object-level actions based on VI (visual inspections). Note that an object may
# appear more than once.
objname,action,reason,comment
#
#IC 1559,drop,no source,Galaxy triple.
#3C 433,hyperleda-coords,NED incorrect,In '3C 433' group
#FAIRALL 0216,hyperleda-coords,NED incorrect,NED points to the center of the group
#RB 143,drop,shred,Shred of '2MASS J12592926+2805540'
#ZOAG G201.64-03.96,drop,shred,Shred of 'WISEA J061626.82+081114.0'
#ZOAG G197.44+04.58,drop,shred,Shred of '2MASX J06392637+1551514'
#ARK 388,drop,no source,Galaxy pair 'CGCG 043-025 NED01' and 'CGCG 043-025 NED02'
#CoD -29 08887 X24,drop,no source,Galaxy pair '2MASX J11091617-3002389' and 'WISEA J110912.60-300230.2'
#Dwarf Antennae,drop,no source,Galaxy pair 'WISEA J020239.95-092241.4' and '2MASX J02023879-0922128'
#HARO 31,drop,no source,Galaxy pair 'HARO 31 NED01' and 'HARO 31 NED02'
#KAZ 267,drop,no source,Galaxy pair 'KAZ 267a' and 'KAZ 267b'
#NPM1G +18.0357,drop,no source,Galaxy pair 'WISEA J131325.95+182708.9' and 'SDSS J131326.09+182705.5'
#PG 1452+132,drop,no source,Galaxy pair 'SDSS J145432.02+130206.4' and '2MASS J14543263+1302026'
#PGC 043360,drop,no source,Confusion with 'WISEA J124932.72-412006.3'
#PGC 030937,drop,no source,Galaxy pair 'LEDA 083083' and 'WISEA J102948.40-350550.5'
#KOS SP4 042,drop,no source,Confusion with 'WISEA J004835.96-212155.1'
#DUKST 470-030,drop,no source,Confusion with 'WISEA J232610.59-303106.3'
#
#CGCG 042-200 NED03,hyperleda-coords,NED incorrect,'VCC 1838' group
#CGPG 2319.6+0443,hyperleda-coords,NED incorrect,
#LSBG F250-028,hyperleda-coords,NED incorrect,
#WAS 15 NED01,hyperleda-coords,NED incorrect,NED points to 'WISEA J104521.00+271934.4'
#VCC 1134,hyperleda-coords,NED incorrect,NED points to the center of the group
##
##
#PGC 049039,drop,no source,Galaxy pair 'NGC 5306' and 'VV 135c'
#ZwCl 1700.5+3322 37,drop,no source,Galaxy pair 'WISEA J170248.64+333424.1' and 'ZwCl 1700.5+3322 35'
#TOLOLO 00046,drop,no source,Centered on a real pair of small galaxies
#TOLOLO 1214+044,drop,no source,Galaxy pair 'TOLOLO 1214+044 NED01' and 'TOLOLO 1214+044 NED02'
#Superantennae,drop,no source,Galaxy pair 'AM 1925-724 NED01' and 'AM 1925-724 NED02'
#TOLOLO 0341-407E,drop,shred,Shred of 'SCHG 0341-407'
#UGC 09504,drop,no source,Galaxy pair 'UGC 09504 NED01' and 'UGC 09504 NED02'
#VCC 2038,drop,no source,Galaxy pair 'IC 0815' and 'IC 3760'
#PGC1 1946946 NED001,drop,no source,Galaxy pair 'UGC 09504 NED01' and 'UGC 09504 NED02'
#WAS 96,drop,no source,Confusion with 'WISEA J151102.00+312839.9'
#LCSB L0649P,drop,no source,Confusion with 'WISEA J150233.49-025101.2'
#WAS 15,drop,no source,Galaxy pair 'WAS 15 NED01' and 'WISEA J104521.00+271934.4'
#SCOSMOS70 J100123.2+022415,drop,no source,Galaxy pair 'WISEA J100123.60+022416.7' and 'WISEA J100123.21+022414.7'
#KOS NP5 072,drop,no source,Galaxy pair '2MASX J13431580+2609530' and '2MASX J13431528+2610020'
#DUKST 412-027,drop,no source,Galaxy pair 'WISEA J011338.10-313911.0' and 'WISEA J011336.82-313906.6'
SDSS J125839.45+273922.5,drop,faint,In '1256+27W01' group.
[APS2006] J194.676010+27.66179,drop,faint,In '1256+27W01' group.
[APS2006] J194.681305+27.66864,drop,faint,In '1256+27W01' group.
[APS2006] J194.672897+27.66616,drop,faint,In '1256+27W01' group.
SDSS J105506.19+402723.0,drop,faint,In 'MAPS-NGP O_215_0381013' group.
WISEA J101233.52+581302.8,drop,faint,In 'MCG +10-15-032' group.
SDSS J102422.26+414155.0,drop,faint,In 'GCG 211-054' group.
VII Zw 366 NOTES02,drop,faint,Compact; in 'VII Zw 366' group.
GALEXASC J054529.11-255617.9,drop,faint,In 'VV 162' group.
WISEA J054533.25-255607.2,drop,faint,In 'VV 162' group.
#
MGC 0006552,drop,compact,In 'MGC 0006552' group.
2MASS J10225889-0010216,drop,compact,In 'MGC 0006552' group.
2MASS J10225861-0010235,drop,compact,In 'MGC 0006552' group.
SA 1656-068,drop,compact,Galaxy triple.
SDSS J221758.44+001726.4,drop,compact,Galaxy triple.
2MASS J12251100+1445426,drop,compact,Compact source in envelope of 'NGC 4337'.
GALEXASC J130013.46-022818.8,drop,compact,Galaxy triple; faint.
SDSS J115826.03+004230.1,drop,compact,In 'UGC 06959' group.
WISEA J115825.11+004156.0,drop,compact,In 'UGC 06959' group.
WISEA J115828.27+004147.3,drop,compact,In 'UGC 06959' group.
WISEA J115829.64+004246.2,drop,compact,In 'UGC 06959' group.
WISEA J115824.34+004251.4,drop,compact,In 'UGC 06959' group.
WISEA J115824.62+004310.6,drop,compact,In 'UGC 06959' group.
GALEXASC J100037.15-053230.9,drop,compact,
GALEXASC J014951.32-345408.4,drop,compact,
GALEXASC J163803.47-235103.2,drop,compact,
#
SDSS J164711.12+210514.8,drop,shred,In '[PSP2017] dmJ1647+21' group.
WISEA J004600.29-633351.4,drop,shred,Shred of 'APM 004353.08-635019.4'.
2MASS J12472730+0335321,drop,shred,Shred of 'ARK 388'.
SDSS J171313.50+380455.3,drop,shred,Shred of 'I Zw 176 NOTES02'.
KOS SP3 063,drop,shred,Shred of 'WISEA J003736.92-283413.1'.
[AVL99] J005820.0-664758.0,drop,shred,Shred of '2MASX J00582086-6648011'.
WKK 0731 NED02,drop,shred,Shred of 'WKK 0731'.
CCC 101,drop,shred,Tidal debris of 'WISEA J124932.72-412006.3'.
SDSS J092449.60+213418.6,drop,shred,Shred of 'VV 154b' and 'VV 154c'.
CGCG 232-002 NED01,drop,shred,Shred of 'WISEA J055212.10+465020.2'.
SDSS J103111.12+065227.3,drop,shred,Shred of 'VV 396 NED01'.
SDSS J120703.25+254343.3,drop,shred,Shred of 'CGCG 128-031N'.
SDSS J124558.51+451201.5,drop,shred,Shred of 'UGC 07936 NED01'.
SDSS J124556.94+451122.1,drop,shred,Shred of 'UGC 07936 NED01'.
SDSSCGB 13211.04,drop,shred,Shred of 'UGC 07936 NED01'.
CGCG 015-030 NED03,drop,shred,Shred of 'CGCG 015-030 NED02'.
SDSSCG 077b,drop,shred,Shred of 'CGCG 015-030 NED02'.
SDSS J125323.84-002523.4,drop,shred,Shred of 'CGCG 015-030 NED02'.
SDSS J131758.34-001839.3,drop,shred,Shred of 'UGC 08357 NED01'.
SDSS J143538.35+130940.8,drop,shred,Shred of 'UGC 09394 NED03'.
SDSS J085354.41+350906.7,drop,shred,Shred of 'UGC 04653 NED02'.
SDSS J134423.35+202421.8,drop,shred,Shred of 'UGC 08691 NED01'.
NGC 7212 NED03,drop,shred,Shred of 'WISEA J220702.36+101414.3'.
ESO 463-IG 003 NED03,drop,shred,Shred of 'WISEA J203359.98-302221.2'.
SDSS J151323.92+305744.2,drop,shred,Shred of 'CGCG 165-032 NED01'.
2MASS J15132427+3057370,drop,shred,Shred of 'CGCG 165-032 NED01'.
CGCG 048-073 NED02,drop,shred,Shred of 'WISEA J145639.75+062752.6'.
2MASS J14563937+0627571,drop,shred,Shred of 'WISEA J145639.75+062752.6'.
UGC 09540 NED03,drop,shred,Shred of 'UGC 09540 NED02'.
SDSS J140208.64+093400.9,drop,shred,Shred of 'CGCG 1359.7+0949 NED01'.
2MASS J14142272+0258341,drop,shred,Shred of 'UGC 09108 NED02'.
AGC 230960,drop,shred,Shred of '2MASX J14015671+1222498' in 'KUG 1359+126' group.
SDSS J140156.03+122241.4,drop,shred,Shred of '2MASX J14015671+1222498' in 'KUG 1359+126' group.
SDSS J111056.30+044345.9,drop,shred,Shred of 'CGCG 039-044 NED02'.
SDSS J011448.96-002937.5,drop,shred,Shred of 'UGC 00793 NED01'.
ESO 350-IG 034 NED01,drop,shred,Shred of 'ESO 350-IG 034 NED02'.
2dFGRS S557Z050,drop,shred,Shred of 'ESO 350-IG 034 NED02'.
SDSS J004012.68+210433.2,drop,shred,Shred of 'CGCG 457-025 NED01'.
VIII Zw 010 NED02,drop,shred,Shred of 'VIII Zw 010 NED02'.
SDSS J095939.74+003514.6,drop,shred,Shred of 'WISEA J095939.53+003512.2' in 'UGC 05370 NOTES01' group.
SDSS J151325.25+305717.8,drop,shred,Shred of 'CGCG 165-032 NED01' in 'CGCG 165-032' group.
WISEA J013635.53+344433.6,drop,shred,Shred of 'KUG 0133+344 NED01' in 'KUG 0133+344' group.
UGCA 025 NED02,drop,shred,Shred of 'WISEA J021650.53+372112.7'?
SDSS J082618.08+171244.2,drop,shred,Shred of 'CGCG 089-025 NED01'.
SDSS J083917.34-003643.1,drop,shred,Shred of 'CGCG 004-102 NED02'.
SDSS J083916.36-003656.8,drop,shred,Shred of 'CGCG 004-102 NED02'.
WISEA J093529.58+033922.6,drop,shred,Shred of 'WISEA J093529.80+033917.5'.
2MASS J09363648+4828285,drop,shred,Shred of 'CGCG 239-011 NED02'.
SDSS J093630.81+482819.1,drop,shred,Shred of 'CGCG 239-011 NED01'.
SDSS J093629.62+482818.9,drop,shred,Shred of 'CGCG 239-011 NED01'.
SDSS J093632.21+482808.0,drop,shred,Shred of 'CGCG 239-011 NED01'.
WISEA J093922.03+233438.5,drop,shred,Shred of 'WISEA J093920.97+233426.9' in 'VV 659' group.
SDSS J093921.20+233416.5,drop,shred,Shred of 'WISEA J093920.97+233426.9' in 'VV 659' group.
CGCG 036-054 NED01,drop,shred,Shred of '2MASS J10120089+0321165' and '2MASS J10120083+0321111' in 'CGCG 036-054' group.
WISEA J105508.12+402737.1,drop,shred,Shred of 'SDSS J105508.03+402734.5' in 'MAPS-NGP O_215_0381013' group.
SDSS J110149.68+442654.8,drop,shred,Shred of 'CGCG 241-060 NED01' in 'CGCG 241-060' group.
SDSS J110149.75+442647.4,drop,shred,Shred of 'CGCG 241-060 NED01' in 'CGCG 241-060' group.
SDSS J110418.99+021855.1,drop,shred,Shred of 'CGCG 038-108 NED01' in 'CGCG 038-108' group.
SDSS J110419.07+021856.8,drop,shred,Shred of 'CGCG 038-108 NED01' in 'CGCG 038-108' group.
2MASS J11014831+4426594,drop,shred,Shred of 'CGCG 241-060 NED01' in 'CGCG 241-060' group.
