# VI-based update to LVD v1.0.5 properties,,,,,,,,,
objname,ra,dec,diam,ba,pa,radec_ref,diam_ref,ba_ref,pa_ref
A0952+69,149.3783505,69.2777057,2.5,0.75,90.0,HYPERLEDA,VI,VI,VI
AGC 112521,25.2823945,27.3236578,-99.0,-99.0,-99.0,VI,,,
AGC 238890,-99.0,-99.0,1.103,0.66,163.0,,SGA2020,SGA2020,SGA2020
AGC749235,186.0416891,26.2307582,-99.0,0.218,164.3,VI,,VI,VI
AM 1320-230,200.8745833333330,-23.393055555555600,-99.0,-99.0,-99.0,NED,,,
Andromeda XIII,12.9631252,33.0035536,-99.0,-99.0,-99.0,VI,,,
Andromeda XXVIII,338.1729368,31.2162913,-99.0,-99.0,-99.0,VI,,,
BK3N,148.45459331112400,68.96961600271590,-99.0,-99.0,105.0,VI,,,VI
BK6N,158.631727053311,66.0118484952377,-99.0,-99.0,105.0,VI,,,VI
d1015+69,153.7792941,69.0375363,-99.0,-99.0,-99.0,VI,,,
DDO 125,186.9249170689500,43.4934747726463,4.7,-99.0,-99.0,VI,VI,,
DDO 126,-99.0,-99.0,-99.0,-99.0,145.5,,,,HYPERLEDA
DDO 133,-99.0,-99.0,5.509129,0.699842,162.88872,,SGA2020,HYPERLEDA,SGA2020
DDO 153,193.486722,-12.1054537,-99.0,-99.0,-99.0,HYPERLEDA,,,
DDO 169NW,-99.0,-99.0,-99.0,-99.0,160.0,,,,VI
Donatiello III,17.3527738,-27.3482243,-99.0,-99.0,-99.0,VI,,,
dw0132+1422,-99.0,-99.0,-99.0,-99.0,49.0,,,,VI
dw0136p1628,-99.0,-99.0,-99.0,-99.0,122.0,,,,VI
dw0137p1607,24.4160386,16.1324040,0.498668661,0.489,17.6,VI,VI,VI,VI
dw0507m3739,76.8530820,-37.6514844,-99.0,-99.0,-99.0,VI,,,
dw1004m0657,151.157434437467,-6.95854125319185,1.51032308333333,0.7791131,131.7884,VI,VI,VI,VI
dw1004m0737,150.9943002,-7.6405970,-99.0,-99.0,-99.0,VI,,,
dw1006m0730-n2,151.6402929,-7.5095160,-99.0,-99.0,-99.0,VI,,,
dw1007m0830,151.9466091,-8.5042051,-99.0,-99.0,-99.0,VI,,,
dw1044p1351,161.1588426,13.8591524,-99.0,-99.0,-99.0,VI,,,
dw1044p1359,161.1074190,13.9989058,-99.0,-99.0,-99.0,VI,,,
dw1048p1303,162.1497547,13.0599187,-99.0,-99.0,-99.0,VI,,,
dw1049p1233,162.358338460012,12.5526384296931,1.92022683333333,0.92913634,22.207497,VI,VI,VI,VI
dw1049p1247,162.29750000000000,12.792777777777800,-99.0,-99.0,-99.0,NED,,,
dw1104+0004,166.1604758,0.0816805,0.429492146,0.605,13,VI,VI,VI,VI
dw1104+0005,166.170417,0.0925,0.307350191333333,0.89208704,143.94632,VI,VI,VI,VI
dw1106-0052,166.608179903303,-0.879926639276711,1.98296623333333,0.44530696,101.199554,VI,VI,VI,VI
dw1110+0037,-99.0,-99.0,-99.0,-99.0,90,,,,VI
dw1120p1337,170.2552354,13.6080834,5.79996124666667,0.26247433,81.229744,VI,VI,VI,VI
dw1123p1342,170.8058969,13.7142722,-99.0,-99.0,-99.0,VI,,,
dw1227p0136,186.9418,1.6037,1.8,0.8,-99.0,VI,VI,VI,
dw1232p0015,188.15054166666700,0.2624444444444440,-99.0,-99.0,-99.0,NED,,,
dw1236+3336,-99.0,-99.0,-99.0,-99.0,80.0,,,,VI
dw1238m0105,189.70878723304800,-1.0868441333076700,0.16,0.7,48.0,VI,VI,VI,VI
dw1238p0028,189.5586675,0.4765336,-99.0,-99.0,-99.0,VI,,,
dw1239+3230,189.771,32.5042,-99.0,-99.0,-99.0,LS/DR9,,,
Dw1245+6158,-99.0,-99.0,-99.0,-99.0,45.0,,,,VI
dw1310+4153,197.6742487,41.8912777,-99.0,-99.0,-99.0,VI,,,
dw1328+4703,202.1030962,47.0648614,-99.0,-99.0,-99.0,VI,,,
dw1329-45,202.2936411,45.1770389,0.678672210943667,0.714,66.1,VI,VI,VI,VI
dw1336-44,204.1839999,-44.4466766,-99.0,-99.0,-99.0,VI,,,
dw1341-29,-99.0,-99.0,0.5,1,0,,VI,VI,VI
dw1341-43,205.4033984,-43.8535652,-99.0,-99.0,-99.0,VI,,,
dw1342-43,205.683370807435,-43.2556481386453,2.55843916666667,0.7588151,62.49386,VI,VI,VI,VI
ESO 006-001,124.8401250,-85.1442878,-99.0,-99.0,-99.0,VI,,,
ESO 222-010,218.7615,-49.4197,0.8933055,0.48865235,-99.0,VI,HYPERLEDA,HYPERLEDA,
ESO 269-037,195.88829250000000,-46.586861,-99.0,-99.0,-99.0,HYPERLEDA,,,
ESO 290-028,-99.0,-99.0,3.3678637,0.2748319,90.72542,,SGA2020,SGA2020,SGA2020
ESO 294-G010,-99.0,-99.0,2.2,-99.0,-99.0,,VI,,
ESO 325-011,206.2520833333330,-41.861111111111100,-99.0,-99.0,-99.0,NED,,,
ESO 346-007,-99.0,-99.0,1.66,-99.0,-99.0,,VI,,
ESO 472-015,-99.0,-99.0,1.836,-99.0,-99.0,,VI,,
ESO104-044,287.8466636,-64.2211493,-99.0,-99.0,-99.0,VI,,,
FM1,146.2936312,68.7636111,-99.0,-99.0,-99.0,VI,,,
Fornax,-99.0,-99.0,47.76,-99.0,-99.0,,v1.0.5,,
GALFA Dw3,44.7342772,13.6300364,-99.0,-99.0,-99.0,VI,,,
GARLAND,-99.0,-99.0,-99.0,-99.0,40.0,,,,VI
HIPASS J1131-31,172.8946351,-31.6739551,-99.0,-99.0,-99.0,VI,,,
HIPASS J1247-77,191.8856252,-77.5815161,-99.0,-99.0,-99.0,VI,,,
HIPASS J1337-39,204.35541666666700,-39.89661111111110,0.75,-99.0,0.0,NED,VI,,VI
HIPASS J1348-37,207.1409581,-37.9675100,0.6,-99.0,15.0,VI,VI,,VI
Holmberg II,124.77075000000000,70.72002777777780,-99.0,-99.0,-99.0,NED,,,
HS 117,-99.0,-99.0,-99.0,-99.0,170.0,,,,VI
IC 3840,-99.0,-99.0,-99.0,-99.0,40.0,,,,VI
IC239,-99.0,-99.0,4.57,0.912,125,,RC3,RC3,2MASS
IKN,152.0188947,68.4229281,-99.0,0.711,162.2,VI,,VI,VI
JKB129,-99.0,-99.0,-99.0,-99.0,120.0,,,,VI
JKB142,-99.0,-99.0,-99.0,-99.0,150.0,,,,VI
JKB83,148.9569,69.3326,-99.0,-99.0,-99.0,LS/DR9,,,
KDG 2,-99.0,-99.0,-99.0,-99.0,99.826744,,,,SGA2020
KDG 215,-99.0,-99.0,-99.0,-99.0,54.0,,,,VI
KDG 61,149.2627012,68.5928919,-99.0,0.487,64.3,VI,,VI,VI
KDG 63,151.27666666666700,66.55888888888890,-99.0,-99.0,-99.0,NED,,,
KDG 73,163.2376560,69.5499065,-99.0,0.785,134.4,VI,,VI,VI
KK 109,176.7996586361320,43.672241072937,0.48,0.5,2.6,VI,VI,VI,VI
KK 132,184.7753546,47.7301770,-99.0,-99.0,-99.0,VI,,,
KK 135,184.8944985,58.0439485,-99.0,-99.0,-99.0,HYPERLEDA,,,
KK 144,186.37058400000000,28.4845833,-99.0,-99.0,90.0,HYPERLEDA,,,VI
KK 160,190.99079166666700,43.66122222222220,-99.0,-99.0,-99.0,NED,,,
KK 17,30.0431049,28.830926,0.6,0.5,167.5,VI,HYPERLEDA,HYPERLEDA,HYPERLEDA
KK 191,198.4161869237120,42.043011904407500,-99,-99,-99,VI,,,
KK 193,198.8739152,41.5025276,0.478392,0.77,119.17,VI,SMUDGes,SMUDGes,SMUDGes
KK 195,-99.0,-99.0,1.5,0.75,-99.0,,VI,VI,
KK 197,200.50859574737,-42.5355156000737,-99.0,0.62602496,123.69876,VI,,VI,VI
KK 208,204.1485782,-29.5694444,-99.0,-99.0,-99.0,VI,,,
KK 213,205.901532347852,-43.7681162873424,0.82,-99.0,-99.0,VI,v1.0.5,,
KK 218,206.665064953558,-29.9791584305432,-99.0,-99.0,150.0,VI,,,VI
KK 221,-99.0,-99.0,-99.0,-99.0,160.0,,,,VI
KK 242,268.2004139,70.1381295,-99.0,0.835,73.8,VI,,VI,VI
KK 70,133.8458381,33.5584277,-99.0,0.731,105.4,VI,,VI,VI
KK 77,147.5533000,67.5104360,-99.0,-99.0,24.0,VI,,,VI
KKR 25,-99.0,-99.0,-99.0,-99.0,10.0,,,,VI
KKs 3,-99.0,-99.0,-99.0,-99.0,100.0,,,,VI
KKs 51,191.089000991927,-42.9388543230622,0.680456094666667,0.5718074,26.866287,VI,VI,VI,VI
KKs 55,200.5511777,-42.7312086,-99.0,-99.0,-99.0,VI,,,
KKs 57,205.4083820,-42.5811845,-99.0,-99.0,-99.0,VI,,,
KKSG 22,166.531680242782,-1.44797488967722,-99.0,-99.0,-99.0,VI,,,
KKSG 29,189.30625000000000,-10.49611111111110,-99.0,-99.0,-99.0,NED,,,
KKSG 33,190.036144355199,-12.3645938410517,-99.0,-99.0,-99.0,VI,,,
KKSG 37,-99.0,-99.0,-99.0,-99.0,150.0,,,,VI
LeG05,159.92900000000000,12.634888888888900,-99.0,-99.0,-99.0,NED,,,
LeG09,160.6427477,12.1498079,-99.0,-99.0,-99.0,VI,,,
LeG14,161.5591665,12.9605556,-99.0,-99.0,-99.0,HYPERLEDA,,,
LeG19,161.72754166666700,12.788194444444400,-99.0,-99.0,-99.0,NED,,,
LeG21,161.753007,12.960495,-99.0,-99.0,-99.0,SGA2020,,,
Leo I 09,161.721046574768,12.7421582505512,-99.0,-99.0,-99.0,VI,,,
LMC,80.894167,-69.756111,-99.0,-99.0,171.0,NED,,,RC3
LSBC D565-09,143.3069583333330,20.515361111111100,0.5,-99.0,105.0,NED,VI,,VI
LV J0055-2310,-99.0,-99.0,-99.0,-99.0,120.0,,,,VI
LV J0616-5745,94.03716666666670,-57.76461111111110,-99.0,-99.0,-99.0,NED,,,
LV J1228+4358,187.1876871,43.9681247,-99.0,0.23638336,166.49423,VI,,VI,VI
M101 DwA,211.7097870,53.7417854,-99.0,0.942,152.6,VI,,VI,VI
M101-DF1,210.9378061,53.9440978,-99.0,-99.0,-99.0,VI,,,
M101-DF2,212.1559374,54.3250319,-99.0,-99.0,-99.0,VI,,,
M96-DF7,161.8055400,12.8024815,-99.0,-99.0,-99.0,VI,,,
MAPS 1231+42,-99.0,-99.0,-99.0,-99.0,167.16,,,,HYPERLEDA
MCG-04-31-038,197.40250000000000,-27.14075,-99.0,-99.0,-99.0,NED,,,
MCG+09-20-131,183.945437,52.387951,1.4,-99.0,-99.0,SGA2020,VI,,
NGC 1042,40.099892,-8.433514,5.47,0.873,33.6,NED,SGA2020,SGA2020,SGA2020
NGC 1792,-99.0,-99.0,5.5590425,0.4954502,136.1,,HYPERLEDA,HYPERLEDA,HYPERLEDA
NGC 1800,-99.0,-99.0,3.8072977,-99.0,-99.0,,SGA2020,,
NGC 1827,-99.0,-99.0,4.9642844,-99.0,-99.0,,SGA2020,,
NGC 247,-99.0,-99.0,-99.0,-99.0,167.44,,,,HYPERLEDA
NGC 2903-HI-1,142.666718503346,21.724148462866,0.535404467,0.45817915,0.96868557,VI,VI,VI,VI
NGC 3351,-99.0,-99.0,-99.0,-99.0,10.68,,,,HYPERLEDA
NGC 3521-dwTBG,166.8047517,-0.1872682,-99.0,-99.0,-99.0,VI,,,
NGC 3521-sat,166.4198023,0.1190194,-99.0,0.4894518,50.78357,VI,,VI,VI
NGC 4151,-99.0,-99.0,5.43,0.879,140,,SGA2020,SGA2020,SGA2020
NGC 4424,186.798241,9.420542,3.63,0.501,95,NED,RC3,RC3,RC3
NGC 4562,-99.0,-99.0,3.8088787,-99.0,-99.0,,SGA2020,,
NGC 4592,-99.0,-99.0,5.871678,-99.0,-99.0,,SGA2020,,
NGC 4594-DGSAT-3,189.8864796,-11.2269476,-99.0,-99.0,-99.0,VI,,,
