# VI-based update to LVD v1.0.5 properties
objname,ra,dec,diam,ba,pa,radec_ref,diam_ref,ba_ref,pa_ref
LMC,80.894167,-69.756111,-99.0,-99.0,171.0,NED,,,RC3
SMC,13.186667,-72.828611,-99.0,-99.0,45.0,NED,,,RC3
DDO 126,-99.0,-99.0,-99.0,-99.0,145.5,,,,HYPERLEDA
NGC 5023,-99.0,-99.0,-99.0,-99.0,28.22,,,,HYPERLEDA
A0952+69,149.3783505,69.2777057,2.5,0.75,90.0,HYPERLEDA,VI,VI,VI
HS 117,-99.0,-99.0,-99.0,-99.0,170.0,,,,VI
UGCA 281,186.570833,48.494167,-99.0,-99.0,-99.0,2016AJ....152...50T,,,
UGC 7298,184.125699,52.227996,-99.0,-99.0,-99.0,HYPERLEDA,,,
BK6N,-99.0,-99.0,-99.0,-99.0,105.0,,,,VI
KKR 25,-99.0,-99.0,-99.0,-99.0,10.0,,,,VI
KK 17,30.042042,28.8311692,0.6,0.5,167.5,HYPERLEDA,HYPERLEDA,HYPERLEDA,HYPERLEDA
Dw1245+6158,-99.0,-99.0,-99.0,-99.0,45.0,,,,VI
KK 193,198.87417,41.50223,0.478392,0.77,119.17,SMUDGes,SMUDGes,SMUDGes,SMUDGes
NGC 4631-dw3,190.72097,32.45592,0.507996,0.9,81.86,SMUDGes,SMUDGes,SMUDGes,SMUDGes
KK 135,184.8944985,58.0439485,-99.0,-99.0,-99.0,HYPERLEDA,,,
KK 160,190.99079166666667,43.66122222222222,-99.0,-99.0,-99.0,NED,,,
MAPS 1231+42,-99.0,-99.0,-99.0,-99.0,167.16,,,,HYPERLEDA
dw1239+3230,189.771,32.5042,-99.0,-99.0,-99.0,LS/DR9,,,
JKB83,148.9569,69.3326,-99.0,-99.0,-99.0,LS/DR9,,,
LV J1228+4358,-99.0,-99.0,-99.0,-99.0,175.0,,,,VI
GARLAND,-99.0,-99.0,-99.0,-99.0,40.0,,,,VI
KDG 73,163.23779166666665,69.54938888888888,-99.0,-99.0,148.0,NED,,,VI
DDO 169NW,-99.0,-99.0,-99.0,-99.0,160.0,,,,VI
BK3N,148.45459331112409,68.96961600271591,-99.0,-99.0,105.0,VI,,,VI
NGC 247,-99.0,-99.0,-99.0,-99.0,167.44,,,,HYPERLEDA
ESO 290-028,-99.0,-99.0,3.3678637,0.2748319,90.72542,,SGA2020,SGA2020,SGA2020
NGC 1792,-99.0,-99.0,5.5590425,0.4954502,136.1,,HYPERLEDA,HYPERLEDA,HYPERLEDA
Pegasus dIrr,-99.0,-99.0,9.068349,0.47048086,124.596985,,SGA2020,SGA2020,SGA2020
NGC 4424,186.798241,9.420542,-99.0,-99.0,-99.0,NED,,,
PGC1242,-99.0,-99.0,3.7,-99.0,10.0,,VI,,VI
NGC 3351,-99.0,-99.0,-99.0,-99.0,10.68,,,,HYPERLEDA
DDO 133,-99.0,-99.0,5.509129,0.699842,162.88872,,SGA2020,HYPERLEDA,SGA2020
UGCA 442,355.94309250000003,-31.956949,-99.0,-99.0,-99.0,HYPERLEDA,,,
NGC 4592,-99.0,-99.0,5.871678,-99.0,-99.0,,SGA2020,,
NGC 1042,40.099892,-8.433514,-99.0,-99.0,-99.0,NED,,,
NGC 1827,-99.0,-99.0,4.9642844,-99.0,-99.0,,SGA2020,,
NGC 1800,-99.0,-99.0,3.8072977,-99.0,-99.0,,SGA2020,,
NGC 4562,-99.0,-99.0,3.8088787,-99.0,-99.0,,SGA2020,,
ESO 346-007,-99.0,-99.0,1.66,-99.0,-99.0,,VI,,
ESO 472-015,-99.0,-99.0,1.836,-99.0,-99.0,,VI,,
ESO 325-011,206.2520833333333,-41.861111111111114,-99.0,-99.0,-99.0,NED,,,
DDO 153,193.486722,-12.1054537,-99.0,-99.0,-99.0,HYPERLEDA,,,
NGC 3521-sat,-99.0,-99.0,-99.0,-99.0,45.0,,,,VI
KKs 3,-99.0,-99.0,-99.0,-99.0,100.0,,,,VI
PGC 51659,-99.0,-99.0,2.301442,-99.0,120.0,,HYPERLEDA,,VI
KK 218,-99.0,-99.0,-99.0,-99.0,150.0,,,,VI
UGC 1703,33.22875,32.815,-99.0,-99.0,-99.0,NED,,,
KDG 2,-99.0,-99.0,-99.0,-99.0,99.826744,,,,SGA2020
