objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
ESO 409-IG 021 NED02,572,WISEA J000722.06-280739.5,-99,12.587,GTrpl
ESO 012-IG 016,1397,WISEA J002146.94-810702.4,-99,0.000,GTrpl
ESO 012-IG 019,1990,ESO 012-IG 019 NED03,1989,0.000,GTrpl
ESO 012-IG 019 NED03,1989,ESO 012-IG 019 NED01,-99,39.900,G
V Zw 056,4341,V Zw 056 NOTES02,-99,58.990,GTrpl
ESO 152-IG 014,5871,WISEA J013445.78-532505.9,-99,0.000,GTrpl
V Zw 163,7625,WISEA J020045.44+464828.5,-99,0.413,GTrpl
ESO 200-IG 011,12661,WISEA J032253.51-473900.2,-99,7.968,GTrpl
CGCG 066-046,32599,CGCG 066-046 NED01,-99,4.027,GTrpl
MCG +10-17-130,38005,VV 656 NED01,37989,7.887,GTrpl
VV 656 NED01,37989,VV 656 NED02,-99,11.539,G
ESO 328-IG 013,53768,WISEA J150403.60-415550.9,-99,10.067,GTrpl
ESO 023-IG 007,59231,2MFGC 13527,-99,5.216,GTrpl
ESO 024-IG 020,62449,WISEA J184837.07-790330.0,-99,7.335,GTrpl
ESO 144-IG 011,65842,WISEA J205923.59-604003.4,-99,1.848,GTrpl
ESO 144-IG 017,66014,2MASX J21035050-5934567,-99,9.078,GTrpl
ESO 286-IG 069,66267,ESO 286-IG 069 NED01,-99,1.218,GTrpl
VV 581,67691,WISEA J215658.87-365759.9,-99,107.436,GTrpl
ESO 076-IG 013,68702,WISEA J222248.13-720220.4,-99,2.975,GTrpl
ESO 345-IG 052,69683,WISEA J224613.26-390502.7,602004,0.000,GTrpl
ESO 239-IG 011,70471,WISEA J230606.38-472945.4,-99,2.332,GTrpl
ESO 293-IG 005,72626,ESO 293-IG 005 NED03,-99,13.389,GTrpl
IRAS 17518-0202,166523,WISEA J175425.16-020235.5,-99,1.234,GTrpl
CGMW 3-1592,201900,WISEA J180721.04+052646.9,-99,6.770,GTrpl
CGMW 4-5601,210917,WISEA J191027.15-215515.7,-99,2.541,GTrpl
AM 0851-683,283623,WISEA J085144.83-684537.8,-99,20.354,GTrpl
AM 1941-515,452737,2MASX J19450041-5146259,-99,9.102,GTrpl
AM 0954-793,2816689,WISEA J095411.80-795139.1,-99,10.111,GTrpl
ESO 294-IG 011,3166392,ESO 294-IG 011 NED02,1686,33.533,GTrpl
III Zw 022,3166476,III Zw 022 NOTES02,3084840,0.100,GTrpl
VV 162,3166992,ESO 488- G?008,17743,0.583,GTrpl
ESO 488- G?008,17743,ESO 488- G 007,-99,12.551,G
VII Zw 399,3167411,VII Zw 399 NOTES02,35107,3.093,GTrpl
VIII Zw 330,3167713,VIII Zw 330 NED02,48487,0.071,GTrpl
VIII Zw 330 NED02,48487,VIII Zw 330 NED01,48489,8.754,G
VII Zw 772,3168085,VII Zw 772 NOTES02,61480,0.929,GTrpl
II Zw 184,3168512,II Zw 184 NOTES02,69481,3.352,GTrpl
WISEA J130346.85+330710.9,3801537,2MASS J13034680+3307115,-99,0.539,GTrpl
NGC 3280,5067394,NGC 3280C,31158,4.855,GTrpl
NGC 3280C,31158,NGC 3280A,31153,15.401,G
ESO 410-IG 008,1319,6dF J0020360-312217,-99,2.677,GTrpl
ESO 153-IG 021,8045,ESO 153-IG 021 NED02,-99,5.023,GTrpl
ESO 200-IG 002,12351,WISEA J031859.51-521651.7,-99,3.370,GTrpl
ESO 033-IG 025,17468,WISEA J053440.66-762757.1,-99,2.482,GTrpl
CGCG 232-002,18032,WISEA J055212.10+465020.2,-99,32.021,GTrpl
ESO 255-IG 007,19078,ESO 255-IG 007 NED02,-99,9.513,GTrpl
UGC 03737,20393,UGC 03737 NED01,200232,14.863,GTrpl
ESO 090-IG 014,25356,ESO 090-IG 014 NED01,-99,4.361,GTrpl
VV 396,31038,VV 396 NED01,-99,2.545,GTrpl
ESO 270-IG 016,47553,6dF J1331297-433132,-99,2.138,GTrpl
UGC 11367,62489,UGC 11367 NED02,-99,12.109,GTrpl
CGCG 230-007,63099,CGCG 230-007 NED03,-99,16.564,GTrpl
ESO 463-IG 003,64971,WISEA J203359.98-302221.2,-99,25.979,GTrpl
NGC 7018,66141,NGC 7018 NED02,3442281,0.000,GTrpl
ESO 533-IG 002,68333,ESO 533-IG 002 NED01,-99,6.711,GTrpl
ESO 345-IG 048,69632,WISEA J224431.62-411234.1,-99,1.920,GTrpl
UGC 08357,46319,UGC 08357 NED03,-99,22.391,GTrpl
NGC 6745,62691,WISEA J190141.62+404436.8,-99,33.961,GTrpl
AM 2104-810,66285,WISEA J211112.36-805048.3,-99,12.908,GTrpl
V Zw 085,6191,WISEA J014027.80+321509.7,-99,23.863,GTrpl
AM 1118-350,34790,AM 1118-350 NED02,-99,21.051,GTrpl
DUKST 536-009,134524,WISEA J233047.12-231050.3,-99,4.970,GTrpl
CGMW 3-4465,204628,6dF J1939076-012320,-99,2.758,GTrpl
CGCG 019-042,51724,CGCG 019-042 NED01,-99,7.466,GTrpl
MCG +08-23-062,41938,MCG +08-23-062 NED01,-99,6.655,GTrpl
NGC 3817,36299,NGC 3817 NED02,-99,2.884,GTrpl
2dFGRS S845Z450,402715,WISEA J024543.39-560847.5,-99,2.194,GTrpl
CGCG 039-044,33958,CGCG 039-044 NED02,-99,4.547,GTrpl
VIII Zw 091,31546,2MASS J10372374+0218394,-99,3.789,GTrpl
AM 0603-332,165451,AM 0603-332 NED01,-99,12.788,GTrpl
UGC 04653,24981,UGC 04653 NED01,-99,15.673,GTrpl
CGCG 095-061,32761,CGCG 095-061 NED02,-99,7.786,GTrpl
LCSB S2602P,1011339,2MASX J21503177-0753490,-99,5.479,GTrpl
NGC 5096,46506,NGC 5096 NED01,-99,5.123,GTrpl
MCG +10-20-005,48372,MCG +10-20-005 NED01,-99,19.929,GTrpl
CGCG 407-053,72297,CGCG 407-053 NED02,-99,22.694,GTrpl
CGCG 077-090,54871,CGCG 077-090 NED03,-99,12.146,GTrpl
IC 1433,68267,IC 1433 NED01,-99,6.949,GTrpl
CGCG 004-090,24250,CGCG 004-090 NED02,-99,32.081,GTrpl
MCG -07-07-006,11805,MCG -07-07-006 NED01,-99,3.004,GTrpl
CGCG 155-021,32365,CGCG 155-021 NED02,-99,28.385,GTrpl
SBS 1532+591,2584799,2MASS J15335449+5857462,-99,11.266,GTrpl
UGC 09108,50861,UGC 09108 NED03,-99,10.129,GTrpl
CGCG 059-055,23136,WISEA J081515.44+101650.8,-99,81.125,GTrpl
NGC 6670,62033,NGC 6670A,-99,17.048,GTrpl
IC 3278,40345,IC 3278 NED03,-99,10.732,GTrpl
VV 145,34164,WISEA J111320.12+023248.4,-99,12.296,GTrpl
ARP 251,3163,WISEA J005348.40-135114.9,-99,10.104,GTrpl
CGCG 406-110,71475,CGPG 2324.7+0429 NED03,-99,16.161,GTrpl
WISEA J215104.80-484832.7,190565,ESO 237-IG 006 NED01,67484,2.100,GTrpl
CGCG 074-053,49987,CGCG 1359.7+0949 NED01,-99,9.993,GTrpl
UGC 06527,35620,UGC 06527 NED03,-99,25.342,GTrpl
NGC 5679,52132,NGC 5679 NED02,-99,9.557,GTrpl
CGCG 004-085,24198,CGCG 004-085 NED01,-99,13.253,GTrpl
ESO 202- G 013,15010,ESO 202- G 013 NED03,-99,0.000,GTrpl
2MASX J15202412+3105572,54733,ABELL 2061:KYDISC 00010,-99,3.656,GTrpl
CGCG 015-030,43783,CGCG 015-030 NED02,-99,5.492,GTrpl
CGCG 164-057,53747,CGCG 164-057 NED03,-99,24.970,GTrpl
CGCG 165-014,53859,CGCG 165-014 NED03,-99,55.193,GTrpl
NGC 7212,68065,NGC 7212 NED02,-99,13.059,GTrpl
CGCG 049-142,54812,MCG +01-39-020 NED01,-99,109.793,GTrpl
UGC 09540,200320,UGC 09540 NED02,-99,1.067,GTrpl
ESO 197-IG 001,6605,ESO 197-IG 001 NED01,-99,44.984,GTrpl
MCG +09-15-076,25334,KUG 0857+528,-99,1.980,GTrpl
B2 1637+29,58696,2MASX J16392015+2950558,-99,1.514,GTrpl
