# This file lists objects whose elliptical geometry should be kept
# fixed in both the SGA pipeline and in legacypipe because they do not
# have a well-defined center.
#
# These objects all get the 'FIXGEO' SGAFITMODE and FITMODE bit set.
#
objname,comment
#
Clump III,LVD
Clump I,LVD
d1014+68,LVD
d0944+69,LVD
dw1315+4123,LVD
M101 Dw9,LVD
[KKH2011]S11,LVD
d1006+67,LVD
BK3N,LVD
d1041+70,LVD
d0939+71,LVD
MADCASH-1,LVD
d0955+70,LVD
d0926+70,LVD
dw1330+4731,LVD
NGC 5055-dwTBG1,LVD
d0934+70,LVD
dw1329-45,LVD
DDO 169NW,LVD
M101-DF3,LVD
d0959+68,LVD
F8D1,LVD
Canes Venatici II,LVD
A0952+69,LVD
Willman 1,LVD
GARLAND,LVD
dw1110+0037,LVD
Bedin 1,LVD
LeG21,LVD
dw1111+0049,LVD
dw1000m0831,LVD
dw1046+1244,LVD
dw1048p1259,LVD
Scl-MM-Dw4,LVD
dw1109-0016,LVD
dw1300+1843,LVD
CenA-MM-Dw5,LVD
dw1340-30,LVD
dw1004m0737,LVD
dw1323-40b,LVD
CenA-MM-Dw6,LVD
dw1323-40a,LVD
CenA-MM-Dw4,LVD
Pegasus V,LVD
dw1124p1240,LVD
dw1335-29,LVD
CenA-MM-Dw2,LVD
dw1322-39,LVD
Scl-MM-Dw1,LVD
M96-DF2,LVD
CenA-MM-Dw7,LVD
Leo K,LVD
Pisces VII,LVD
Pegasus W,LVD
Leo M,LVD
Andromeda XI,LVD
Andromeda XIII,LVD
Virgo II,LVD
Pictor I,LVD
Pisces II,LVD
Andromeda XXII,LVD
Pegasus VII,LVD
Andromeda XVI,LVD
Leo T,LVD
Phoenix II,LVD
Horologium I,LVD
CenA-MM-Dw1,LVD
Leo Minor I,LVD
Andromeda XXIX,LVD
Andromeda XIV,LVD
Virgo I,LVD
Eridanus II,LVD
Hydra II,LVD
Grus I,LVD
Andromeda XII,LVD
Pegasus III,LVD
Pegasus IV,LVD
Columba I,LVD
Leo V,LVD
Horologium II,LVD
CenA-MM-Dw3,LVD
Cetus II,LVD
Tucana V,LVD
Aquarius III,LVD
Segue 2,LVD
Leo VI,LVD
Reticulum III,LVD
Centaurus I,LVD
Scl-MM-Dw2,LVD
Bootes II,LVD
Fornax,LVD
Sculptor,LVD
Leo II,LVD
Leo I,LVD
Antlia B,LVD
DDO 154,LVD
UGCA 292,LVD
KK 17,LVD
KK 69,LVD
Bootes V,LVD
NGC 4631-dw1,LVD
NGC 4631-dw2,LVD
NGC 4631-dw3,LVD
UGCA 330,very bright star
WISEA J203133.10-070501.5,In 'PN A66 70'
ESO 451- G 012,near star
FGCE 0721,geometry algorithm failure
NGC 5291,extended blue light
SGC 2311.8-4353,ultra LSB
