# Object-level actions based on VI (visual inspections).
objname,action,reason,comment
#
NGC 2363,drop,not a galaxy,HII region in 'NGC 2366'.
NGC 2473,drop,duplicate,Same object as 'NGC 2458'.
BK 08N,drop,faint,Likely not real.
kkh 089,drop,faint,Likely not real.
Crater Cluster,drop,GC,Milky Way globular cluster
#
SDSS J000135.53-002337.8,drop,faint shred or compact,
WISEA J001446.93-000235.6,drop,faint shred or compact,
SDSS J002158.60-000754.0,drop,faint shred or compact,
SDSS J002349.25-001757.7,drop,faint shred or compact,
SDSS J002907.63+001647.0,drop,faint shred or compact,
SDSS J003147.53+003316.8,drop,faint shred or compact,
SDSS J003823.95-003630.5,drop,faint shred or compact,
SDSS J010559.91+291229.8,drop,faint shred or compact,
SDSS J022237.26+002905.6,drop,faint shred or compact,
SDSS J022546.63-003553.2,drop,faint shred or compact,
SDSS J022942.99+015944.1,drop,faint shred or compact,
SDSS J023036.09-002712.2,drop,faint shred or compact,
SDSS J023238.88+003703.0,drop,faint shred or compact,
SDSS J023239.25+003711.3,drop,faint shred or compact,
SDSS J024352.54-003708.4,drop,faint shred or compact,
SDSS J024353.52-003657.8,drop,faint shred or compact,
SDSS J024640.60-014823.9,drop,faint shred or compact,
SDSS J025018.24-002114.2,drop,faint shred or compact,
WISEA J072022.40+322158.8,drop,faint shred or compact,
2MASS J07424085+4055403,drop,faint shred or compact,
SDSS J074424.66+343740.0,drop,faint shred or compact,
SDSS J075255.88+385548.6,drop,faint shred or compact,
SDSS J075610.53+452910.1,drop,faint shred or compact,
SDSS J075824.87+325807.2,drop,faint shred or compact,
SDSS J080001.29+535645.7,drop,faint shred or compact,
SDSS J080255.12+542018.4,drop,faint shred or compact,
SDSS J080530.63+373211.0,drop,faint shred or compact,
SDSS J080545.42+370538.3,drop,faint shred or compact,
SDSS J080548.38+551844.2,drop,faint shred or compact,
SDSS J080759.77+551451.1,drop,faint shred or compact,
SDSS J081057.90+563836.3,drop,faint shred or compact,
SDSS J081110.44+453959.2,drop,faint shred or compact,
SDSS J081111.22+453943.5,drop,faint shred or compact,
SDSS J081110.79+453953.4,drop,faint shred or compact,
SDSS J081128.51+544748.5,drop,faint shred or compact,
SDSS J081210.10+522720.0,drop,faint shred or compact,
