# Objects to drop in the parent-building step based on VI.
#
# NB: If "region" is blank, then drop from all/both regions.
#
objname,region,comment
#
WISEA J145331.46+302133.9,dr9-north,
WISEA J145331.98+302114.9,dr9-north,
DESI J152.4228+29.4825,dr9-north,
DESI J002.1771-00.5152,dr9-north,
WISEA J150617.50+304537.6,dr9-north,
WISEA J164231.99+301406.2,dr9-north,
WISEA J084059.23+291323.2,dr9-north,
DESI J326.3073+00.2744,dr9-north,
WISEA J135737.21+291805.7,dr9-north,
2MASX J21331338-0056466,dr9-north,
DESI J002.9629-00.7014,dr9-north,
PGC 1104957,dr9-north,
WISEA J160713.74+304452.1,dr9-north,
PGC 1104944,dr9-north,
WISEA J153401.18+291347.5,dr9-north,
WISEA J003505.36+000628.4,dr9-north,
SDSS J100706.15+292907.4,dr9-north,
WISEA J100236.69+004739.5,dr9-north,
2MASS J08162794+3029262,dr9-north,
SDSS J152146.34+304024.6,dr9-north,
ABELL 2061:KYDISC 00428,dr9-north,
WISEA J151504.30+291340.7,dr9-north,
UGC 10615,dr11-south,
WISEA J133330.14+334903.2,dr11-south,
SDSS J133330.13+335231.6,dr11-south,
WISEA J133303.99+335225.6,dr11-south,
WISEA J182757.56+315539.7,dr11-south,
WISEA J165644.33+344949.1,dr11-south,
WISEA J133312.14+335318.8,dr11-south,
WISEA J133312.12+335312.1,dr11-south,
CGPG 1239.8+3359,dr11-south,
WISEA J083300.81+335839.6,dr11-south,
PGC 2506696,,
WISEA J180338.97+120132.8,,
WISEA J115545.63-291120.6,,
WISEA J033311.90+180251.1,,
DESI J214.7263+19.1358,,
DESI J320.0429-07.3932,,
PGC 553404,,
2MFGC 03698,,
CGMW 5-08011,,
WISEA J031258.32+170141.5,,
WISEA J184452.07+255947.7,,
WISEA J141516.84+190318.9,,
WISEA J184451.49+255936.6,,
WISEA J180337.35+120055.9,,
2MASS J20054627+0645365,,
2MASS J20052046+0646112,,
WISEA J184534.72+255951.2,,
2MASX J13221831-4807244,,
PGC 1279619,,
2MASS J20021439+0923222,,
PGC 1236910,,
WISEA J044829.41+170751.3,,
WISEA J180338.57+120213.4,,
WISEA J151719.55-460229.0,,
CGMW 5-01209,,
WISEA J031830.13+182549.6,,
WISEA J132157.17-480650.8,,
WISEA J031723.77+182745.7,,
2MASX J18511547+2505421,,
CGMW 5-04215,,
WISEA J015717.58+342749.1,,
WISEA J162746.86-241341.4,,
WISEA J171549.38+010544.4,,
GALEXASC J180325.47+120339.9,,
WISEA J023532.62+312223.5,,
WISEA J032842.99+203747.5,,
2MASX J18091991+1258421,,
WISEA J024215.02+281245.2,,
WISEA J024456.75+245816.1,,
WISEA J004948.11+341937.2,,
2MASS J00492811+3419381,,
WISEA J005042.73+341933.0,,
2MASX J00420011+3356536,,
WISEA J004323.23+350648.0,,
WISEA J004455.31+341726.3,,
WISEA J235720.52+340339.1,,
WISEA J200525.97+064700.7,,
WISEA J132428.18-425304.3,,
2MASX J13221701-4807165,,
2MASS J13220944-4809157,,
WISEA J132210.19-480917.7,,
WISEA J080039.42-484009.0,,
2MASX J04323925+1105020,,
WISEA J040045.16+181402.8,,
SDSS J141516.85+192301.0,,
SDSS J141438.55+191311.6,,
DESI J003.3832-00.6648,,
SDSS J014327.08+334344.1,,
WISEA J014355.00+340712.2,,
WISEA J021308.50+345909.5,,
WISEA J021643.56+341312.3,,
WISEA J032616.92+170349.1,,
2MFGC 05569,,
WISEA J074406.84+280121.7,,
WISEA J100242.46+004734.2,,
SDSS J101655.31+285650.2,,
PGC 1873341,,
WISEA J120104.60+305846.9,,
WISEA J121907.59+300048.7,,
WISEA J123920.04+304352.9,,
WISEA J131505.30+301339.1,,
GALEXASC J132032.89+294344.7,,
WISEA J132430.85-425240.8,,
WISEA J140129.58+291414.4,,
WISEA J140220.32+295053.3,,
WISEA J141525.21+303353.6,,
2MASX J14595417+3027373,,
SDSS J152106.09+312114.2,,
WISEA J160143.98+842127.2,,
SDSS J162454.26+341216.9,,
SDSS J171808.10+425947.5,,
DESI J271.8564+30.5428,,
2MASS J18134092+3052519,,
PGC 1926394,,
WISEA J181805.17+312044.4,,
PGC 1842158,,
WISEA J183024.56+311717.3,,
WISEA J183148.86+311457.2,,
PGC 1206064,,
WISEA J204746.98+144041.6,,
WISEA J210410.23+201350.0,,
WISEA J213007.98+120830.3,,
PGC 1371388,,
DESI J327.9888-00.4020,,
WISEA J224303.12+332008.9,,
PGC 588485,,spurious
WISEA J173702.56-005440.6,,
WISEA J173704.33-005508.8,,
PGC 1195927,,
FCCB 1856,,
SDSS J120813.66+004703.3,,
GALEXASC J041958.12-061557.4,,
WISEA J043321.32-132549.6,,
WISEA J085035.00+101207.6,,
WISEA J092912.50+392211.3,,
WISEA J050146.37-181233.4,,missing companion
