# Custom external galaxy catalog, containing objects missing from HyperLeda, NED-LVS, and LVD.
# diameter is in arcmin
#
# LVD's Dw1245+6158:
#   ,SMDG J1245495+615810,191.45623,61.96947,0.4593333333333333,0.4,67.79,17.71,r,Row 4871 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's KK 166:
#   ,SMDG J1249122+353645,192.30065,35.61258,0.399,0.84,67.09,18.58,r,Row 4952 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's KK 193:
#  ,SMDG J1315298+413008,198.87417,41.50223,0.39866666666666667,0.77,299.17,18.14,r,Row 5316 in 'SMUDGes_catalog.6_23.ascii'
#
# LVD's NGC 4631-dw3:
#  ,SMDG J1242530+322721,190.72097,32.45592,0.4233333333333333,0.9,81.86,19.28,r,Row 4788 in 'SMUDGes_catalog.6_23.ascii'
#
# Super-faint!
#   ,SMDG J0130373-195118,22.65546,-19.85495,2.2623333333333333,0.48,89.53,17.63,r,Row 617 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J0151087-141129,27.7863,-14.19137,1.3086666666666666,0.78,333.63,17.1,r,Row 746 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J0441370-014216,70.40414,-1.70431,1.3286666666666667,0.66,332.62,17.72,r,Row 1933 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J1225544+140829,186.47664,14.14138,1.29,0.6,59.07,17.61,r,Row 4106 in 'SMUDGes_catalog.6_23.ascii'
#   ,SMDG J1230495+133018,187.70627,13.50494,0.44033333333333335,0.81,309.33,18.42,r,Row 4370 in 'SMUDGes_catalog.6_23.ascii'
#
# Shreds of UGC 05706:
# ,SMDG J1031105+343018,157.79394,34.50495,0.7579999999999999,0.74,280.3,16.43,r,Row 2806 in 'SMUDGes_catalog.6_23.ascii'
# ,SMDG J1031120+343013,157.79989,34.50348,0.6716666666666666,0.89,286.53,16.25,r,Row 2807 in 'SMUDGes_catalog.6_23.ascii'
#
objname,objname_ned,ra,dec,diam,ba,pa,mag,mag_band,essential_note
,III Zw 040 NOTES02,30.767083,21.007222,0.6,1.0,0.0,-99.0,,Close pair with 'III Zw 040 NOTES01'
,2MASS J15202431+3105513,230.101322,31.097607,0.5,1.0,0.0,-99.0,,Close pair with 'PGC 054733'
,WISEA J000700.38+030650.2,1.751591,3.113954,0.5,0.6,160.0,-99.0,,Near 'CGCG 387-027' group
,WISEA J030937.19-400051.1,47.404966,-40.014208,0.3,1.0,0.0,-99.0,,In 'MCG -07-07-006' group
,CGCG 004-085 NED03,129.168737,-1.531512,0.5,0.4,160.0,-99.0,,In CGCG 004-085 group
,WISEA J180410.89+580121.7,271.045403,58.022711,0.3,0.5,100.0,-99.0,,In 'VII Zw 763' group
,WISEA J202944.33-543734.9,307.434739,-54.626385,0.3,1.0,0.0,-99.0,,In 'ESO 186-IG 054' group
,2MASS J18483582-7903309,282.149261,-79.058586,0.3,1.0,0.0,-99.0,,In 'ESO 024-IG 020' group
,IC 1433 NED02,333.041573,-12.765242,0.3,1.0,0.0,-99.0,,In 'IC 1433' group
,2MASS J23403224-4326052,355.134369,-43.434788,0.3,1.0,0.0,-99.0,,In 'ESO 292-IG 010' group
,2MASS J02081672-1259467,32.069685,-12.996328,0.25,1.0,0.0,-99.0,,In 'APMUKS(BJ) B020550.65-13135 ID' group
,IV Zw 157 NOTES02,354.216245,24.047705,0.25,1.0,0.0,-99.0,,In 'KUG 2334+237' galaxy group
,IV Zw 157 NOTES03,354.21537,24.04298,0.25,1.0,0.0,-99.0,,In 'KUG 2334+237' galaxy group
,2MASS J09540945-7951441,148.539395,-79.862251,0.25,1.0,0.0,-99.0,,In 'AM 0954-793' galaxy group
,WISEA J022307.48-325210.2,35.781179,-32.8695,0.8,0.08,160.0,-99.0,,In 'ESO 355-IG 012' galaxy group
,WISEA J022309.42-325221.2,35.789259,-32.872562,0.5,0.1,90.0,-99.0,,In 'ESO 355-IG 012' galaxy group
,NGC 7212 NED01,331.750533,10.224117,0.6,0.1,0.0,-99.0,,In 'NGC 7212' galaxy group
