| NAME              | RA_HMS     | DEC_DMS   | DIAM  | BA   |
| AGC102728         | 00:00:21.4 | +31:01:19 |  0.20 | 0.58 |
| UGC12894          | 00:00:22.5 | +39:29:44 |  1.02 | 0.87 |
| PGC000083         | 00:01:06.5 | +32:22:41 |  0.74 | 0.29 |
| WLM               | 00:01:58.1 | -15:27:40 | 11.48 | 0.35 |
| And XVIII         | 00:02:14.5 | +45:05:20 |  1.60 | 0.97 |
| PAndAS-03         | 00:03:56.4 | +40:53:19 |  0.40 | 0.97 |
| PAndAS-04         | 00:04:42.9 | +47:21:42 |  0.18 | 0.95 |
| PAndAS-05         | 00:05:24.1 | +43:55:35 |  0.23 | 0.90 |
| ESO409-015        | 00:05:31.8 | -28:05:53 |  1.20 | 0.46 |
| AGC748778         | 00:06:34.4 | +15:30:39 |  0.32 | 0.52 |
| And XX            | 00:07:30.7 | +35:07:56 |  0.80 | 0.89 |
| UGC00064          | 00:07:44.0 | +40:52:32 |  1.66 | 0.56 |
| UGC00063          | 00:07:49.6 | +35:57:58 |  1.02 | 0.62 |
| ESO349-031        | 00:08:13.3 | -34:34:42 |  1.23 | 0.82 |
| dw0009-25         | 00:09:37.8 | -25:02:57 |  0.27 | 0.84 |
| NGC0024           | 00:09:56.4 | -24:57:48 |  7.24 | 0.22 |
| Dw0010-0112       | 00:10:26.4 | -01:12:18 |  0.58 | 0.61 |
| dw0010-25         | 00:10:38.2 | -25:20:06 |  1.00 | 0.81 |
| NGC0045           | 00:14:03.9 | -23:10:56 |  8.51 | 0.69 |
| PiscesA           | 00:14:46.0 | +10:48:47 |  0.56 | 0.62 |
| NGC0055           | 00:14:53.6 | -39:11:48 | 37.15 | 0.17 |
| NGC0059           | 00:15:25.1 | -21:26:38 |  2.29 | 0.48 |
| NGC 55-dw1        | 00:15:29.8 | -38:25:08 | 10.40 | 0.44 |
| ESO410-005        | 00:15:31.4 | -32:10:48 |  1.62 | 0.77 |
| LV J0015-3825     | 00:15:38.3 | -38:25:41 |  0.36 | 0.63 |
| And XIX           | 00:19:32.1 | +35:02:37 | 28.40 | 0.42 |
| IC0010            | 00:20:24.5 | +59:17:30 |  6.76 | 0.87 |
| JKB129            | 00:20:41.4 | +08:37:01 |  0.66 | 0.46 |
| And XXVI          | 00:23:45.6 | +47:54:58 |  2.00 | 0.65 |
| Sc22              | 00:23:51.7 | -24:42:18 |  0.93 | 0.78 |
| Cetus             | 00:26:11.0 | -11:02:40 |  4.79 | 0.67 |
| ESO294-010        | 00:26:33.3 | -41:51:20 |  1.51 | 0.64 |
| UGC00288          | 00:29:04.0 | +43:25:54 |  1.07 | 0.62 |
