target,value,column,op,bits
OBJNAME,2MASS J13113005-0120286,ELLIPSEMODE,set,moremasking
OBJNAME,2MASX J00261720-7233033,ELLIPSEMODE,set,lessmasking
OBJNAME,A0952+69,ELLIPSEMODE,set,fixgeo
OBJNAME,Andromeda II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Andromeda XI,ELLIPSEMODE,set,fixgeo
OBJNAME,Andromeda XII,ELLIPSEMODE,set,fixgeo
OBJNAME,Andromeda XIII,ELLIPSEMODE,set,fixgeo
OBJNAME,Andromeda XIV,ELLIPSEMODE,set,fixgeo
OBJNAME,Andromeda XVI,ELLIPSEMODE,set,fixgeo
OBJNAME,Andromeda XXII,ELLIPSEMODE,set,fixgeo
OBJNAME,Andromeda XXIX,ELLIPSEMODE,set,fixgeo
OBJNAME,Antlia B,ELLIPSEMODE,set,fixgeo
OBJNAME,Antlia II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Aquarius II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Aquarius III,ELLIPSEMODE,set,fixgeo
OBJNAME,BK3N,ELLIPSEMODE,set,fixgeo
OBJNAME,Bedin 1,ELLIPSEMODE,set,"fixgeo,lessmasking"
OBJNAME,Bootes I,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Bootes II,ELLIPSEMODE,set,fixgeo
OBJNAME,Bootes III,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Bootes IV,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Bootes V,ELLIPSEMODE,set,fixgeo
OBJNAME,Canes Venatici I,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Canes Venatici II,ELLIPSEMODE,set,fixgeo
OBJNAME,Carina,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Carina II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Carina III,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,CenA-MM-Dw1,ELLIPSEMODE,set,fixgeo
OBJNAME,CenA-MM-Dw2,ELLIPSEMODE,set,fixgeo
OBJNAME,CenA-MM-Dw3,ELLIPSEMODE,set,fixgeo
OBJNAME,CenA-MM-Dw4,ELLIPSEMODE,set,fixgeo
OBJNAME,CenA-MM-Dw5,ELLIPSEMODE,set,fixgeo
OBJNAME,CenA-MM-Dw6,ELLIPSEMODE,set,fixgeo
OBJNAME,CenA-MM-Dw7,ELLIPSEMODE,set,fixgeo
OBJNAME,Centaurus I,ELLIPSEMODE,set,fixgeo
OBJNAME,Cetus II,ELLIPSEMODE,set,fixgeo
OBJNAME,Clump I,ELLIPSEMODE,set,fixgeo
OBJNAME,Clump III,ELLIPSEMODE,set,fixgeo
OBJNAME,Columba I,ELLIPSEMODE,set,fixgeo
OBJNAME,Coma Berenices,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Crater II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,DDO 154,ELLIPSEMODE,set,fixgeo
OBJNAME,DDO 169NW,ELLIPSEMODE,set,fixgeo
OBJNAME,DUKST 411-021,ELLIPSEMODE,set,moremasking
OBJNAME,Draco,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Draco II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,ESO 050- G 010,ELLIPSEMODE,set,lessmasking
OBJNAME,ESO 324- G 025 NED03,ELLIPSEMODE,set,moremasking
OBJNAME,ESO 385- G 028,ELLIPSEMODE,set,radweight
OBJNAME,ESO 396- G 011,ELLIPSEMODE,set,radweight
OBJNAME,ESO 422- G 034,ELLIPSEMODE,set,radweight
OBJNAME,ESO 425- G 016,ELLIPSEMODE,set,radweight
OBJNAME,ESO 451- G 012,ELLIPSEMODE,set,fixgeo
OBJNAME,Eridanus II,ELLIPSEMODE,set,fixgeo
OBJNAME,Eridanus IV,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,F8D1,ELLIPSEMODE,set,fixgeo
OBJNAME,FGCE 0721,ELLIPSEMODE,set,fixgeo
OBJNAME,Fornax,ELLIPSEMODE,set,"fixgeo,forcepsf"
OBJNAME,GARLAND,ELLIPSEMODE,set,fixgeo
OBJNAME,Grus I,ELLIPSEMODE,set,fixgeo
OBJNAME,Grus II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Hercules,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Horologium I,ELLIPSEMODE,set,fixgeo
OBJNAME,Horologium II,ELLIPSEMODE,set,fixgeo
OBJNAME,Hydra II,ELLIPSEMODE,set,fixgeo
OBJNAME,Hydrus I,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,III Zw 040 NOTES02,ELLIPSEMODE,set,moremasking
OBJNAME,KK 17,ELLIPSEMODE,set,fixgeo
OBJNAME,KK 69,ELLIPSEMODE,set,fixgeo
OBJNAME,LMC,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,LeG21,ELLIPSEMODE,set,fixgeo
OBJNAME,Leo I,ELLIPSEMODE,set,"fixgeo,forcepsf"
OBJNAME,Leo II,ELLIPSEMODE,set,"fixgeo,forcepsf"
OBJNAME,Leo IV,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Leo K,ELLIPSEMODE,set,fixgeo
OBJNAME,Leo M,ELLIPSEMODE,set,fixgeo
OBJNAME,Leo Minor I,ELLIPSEMODE,set,fixgeo
OBJNAME,Leo T,ELLIPSEMODE,set,fixgeo
OBJNAME,Leo V,ELLIPSEMODE,set,fixgeo
OBJNAME,Leo VI,ELLIPSEMODE,set,fixgeo
OBJNAME,M101 Dw9,ELLIPSEMODE,set,fixgeo
OBJNAME,M101-DF3,ELLIPSEMODE,set,fixgeo
OBJNAME,M96-DF2,ELLIPSEMODE,set,fixgeo
OBJNAME,MADCASH-1,ELLIPSEMODE,set,fixgeo
OBJNAME,MCG -01-07-003,ELLIPSEMODE,set,radweight
OBJNAME,NGC 1487 NED01,ELLIPSEMODE,set,radweight
OBJNAME,NGC 4631-dw1,ELLIPSEMODE,set,fixgeo
OBJNAME,NGC 4631-dw2,ELLIPSEMODE,set,fixgeo
OBJNAME,NGC 4631-dw3,ELLIPSEMODE,set,fixgeo
OBJNAME,NGC 5055-dwTBG1,ELLIPSEMODE,set,fixgeo
OBJNAME,NGC 5291,ELLIPSEMODE,set,fixgeo
OBJNAME,NGC 7592A,ELLIPSEMODE,set,fixgeo
OBJNAME,Pegasus III,ELLIPSEMODE,set,fixgeo
OBJNAME,Pegasus IV,ELLIPSEMODE,set,fixgeo
OBJNAME,Pegasus V,ELLIPSEMODE,set,fixgeo
OBJNAME,Pegasus VII,ELLIPSEMODE,set,fixgeo
OBJNAME,Pegasus W,ELLIPSEMODE,set,fixgeo
OBJNAME,Phoenix II,ELLIPSEMODE,set,fixgeo
OBJNAME,Pictor I,ELLIPSEMODE,set,fixgeo
OBJNAME,Pictor II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Pisces II,ELLIPSEMODE,set,fixgeo
OBJNAME,Pisces VII,ELLIPSEMODE,set,fixgeo
OBJNAME,Reticulum II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Reticulum III,ELLIPSEMODE,set,fixgeo
OBJNAME,SGC 2311.8-4353,ELLIPSEMODE,set,fixgeo
OBJNAME,SMC,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Scl-MM-Dw1,ELLIPSEMODE,set,fixgeo
OBJNAME,Scl-MM-Dw2,ELLIPSEMODE,set,fixgeo
OBJNAME,Scl-MM-Dw4,ELLIPSEMODE,set,fixgeo
OBJNAME,Sculptor,ELLIPSEMODE,set,"fixgeo,forcepsf"
OBJNAME,Segue 1,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Segue 2,ELLIPSEMODE,set,fixgeo
OBJNAME,Sextans,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Sextans II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Tucana II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Tucana III,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Tucana IV,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Tucana V,ELLIPSEMODE,set,fixgeo
OBJNAME,UGCA 292,ELLIPSEMODE,set,fixgeo
OBJNAME,UGCA 330,ELLIPSEMODE,set,fixgeo
OBJNAME,UM 461,ELLIPSEMODE,set,momentpos
OBJNAME,Ursa Major I,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Ursa Major II,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Ursa Minor,ELLIPSEMODE,set,"fixgeo,resolved"
OBJNAME,Virgo I,ELLIPSEMODE,set,fixgeo
OBJNAME,Virgo II,ELLIPSEMODE,set,fixgeo
OBJNAME,WISEA J002359.45-723254.3,ELLIPSEMODE,set,lessmasking
OBJNAME,WISEA J002619.16-722846.8,ELLIPSEMODE,set,lessmasking
OBJNAME,WISEA J010827.93-790444.3,ELLIPSEMODE,set,moremasking
OBJNAME,WISEA J100713.82-262330.9,ELLIPSEMODE,set,radweight
OBJNAME,WISEA J133920.82-314039.1,ELLIPSEMODE,set,radweight
OBJNAME,WISEA J203133.10-070501.5,ELLIPSEMODE,set,fixgeo
OBJNAME,WISEA J221431.57-102226.3,ELLIPSEMODE,set,moremasking
OBJNAME,WISEA J225042.97-581401.0,ELLIPSEMODE,set,moremasking
OBJNAME,Willman 1,ELLIPSEMODE,set,fixgeo
OBJNAME,[KKH2011]S11,ELLIPSEMODE,set,fixgeo
OBJNAME,d0926+70,ELLIPSEMODE,set,fixgeo
OBJNAME,d0934+70,ELLIPSEMODE,set,fixgeo
OBJNAME,d0939+71,ELLIPSEMODE,set,fixgeo
OBJNAME,d0944+69,ELLIPSEMODE,set,fixgeo
OBJNAME,d0955+70,ELLIPSEMODE,set,fixgeo
OBJNAME,d0959+68,ELLIPSEMODE,set,fixgeo
OBJNAME,d1006+67,ELLIPSEMODE,set,fixgeo
OBJNAME,d1014+68,ELLIPSEMODE,set,fixgeo
OBJNAME,d1041+70,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1000m0831,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1004m0737,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1046+1244,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1048p1259,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1109-0016,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1110+0037,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1111+0049,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1124p1240,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1300+1843,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1315+4123,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1322-39,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1323-40a,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1323-40b,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1329-45,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1330+4731,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1335-29,ELLIPSEMODE,set,fixgeo
OBJNAME,dw1340-30,ELLIPSEMODE,set,fixgeo
