OBJNAME,FIELD,NEW_VALUE,REASON
CGMW 4-4350,RA,285.0309,VI
CGMW 4-4350,DEC,-34.9815,VI
CGMW 4-5885,RA,288.0642,VI
CGMW 4-5885,DEC,-26.3846,VI
CGMW 4-2748,PA,10.0,VI
CGMW 3-4297,RA,293.5657,VI
CGMW 3-4297,DEC,-1.7733,VI
CGMW 3-3389,RA,287.6014,VI
CGMW 3-3389,DEC,-18.6928,VI
CGMW 4-5281,RA,286.9198,VI
CGMW 4-5281,DEC,-24.7209,VI
CGMW 3-1414,RA,270.9133,VI
CGMW 3-1414,DEC,3.6898,VI
CGMW 4-4386,RA,285.1151,VI
CGMW 4-4386,DEC,-29.1809,VI
CGMW 3-1361,RA,270.6411,VI
CGMW 3-1361,DEC,5.0813,VI
WISEA J194824.73+021826.9,DIAM,0.7,VI
CGMW 4-1464,RA,278.4102,VI
CGMW 4-1464,DEC,-36.8284,VI
CGMW 1-0160,BA,1.0,VI
CGMW 1-0160,PA,0.0,VI
CGMW 5-03194,RA,275.7867,VI
CGMW 5-03194,DEC,18.1023,VI
CGMW 5-05658,PA,45.0,VI
WISEA J191536.69-222526.9,DIAM,0.5,VI
,RA,,VI
,DEC,,VI
,RA,,VI
,DEC,,VI
,RA,,VI
,DEC,,VI
,RA,,VI
,DEC,,VI
,DIAM,,VI
