name	a	b	tau	sigma_obs_default	covar_names	c_json
g23	1.66860494198	0.753746193296	0.291787289513	0.0124732991291	[]	[]
r23	1.15683589227	0.870487815071	0.230822417186	0.0101935003503	[]	[]
z23	0.896664895647	0.943317623098	0.216349931114	0.00937785710405	[]	[]
g24	1.16798864341	0.832013118594	0.247297545927	0.00982993418656	[]	[]
r24	0.678569978609	0.939245576311	0.157955813022	0.00860493911971	[]	[]
z24	0.419437083594	1.03152591829	0.167332325342	0.00914572441986	[]	[]
g25	0.683416337368	0.91143469651	0.17274919278	0.00857155016026	[]	[]
r25	0.277166372195	0.986436723178	0.0704585005058	0.00881033985334	[]	[]
z25	0.0343127137961	1.09669283899	0.115883140354	0.0124414007446	[]	[]
g26	0.262940967589	0.970114366589	0.0905097011371	0.00939260070276	[]	[]
z26	-0.257620024032	1.1393138517	0	0.0251910498577	[]	[]
moment	0.596240627676	0.978161346283	0.150990718661	0.155983499839	[]	[]
