name	a	b	tau	sigma_obs_default	covar_names	c_json
g24	1.0697613437	0.852115035747	0.217075030575	0.0107348786056	[]	[]
r24	0.782066471091	0.88832098145	0.115932816003	0.00924252827404	[]	[]
i24	0.680298676303	0.897618246455	0.0715533605274	0.00957362496921	[]	[]
z24	0.585231105044	0.911592073763	0	0.0107598435455	[]	[]
g25	0.737584580666	0.875689928289	0.125142135199	0.0094255739182	[]	[]
r25	0.457219844472	0.918613179265	0	0.00923675313076	[]	[]
i25	0.328993450197	0.939936865495	0	0.0108755324406	[]	[]
z25	0.210604431761	0.960125073011	0	0.0143260504919	[]	[]
g26	0.355075918686	0.932100150852	0	0.0105125723363	[]	[]
i26	-0.120757505034	1.01731088929	0	0.0176097120593	[]	[]
z26	-0.235735136686	1.03430484375	0	0.025929613368	[]	[]
moment	-0.128759738816	1.16767740445	0.170702367704	0.166015437548	[]	[]
